,IB1,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM10,NM11,NM2,NM3,NM4,NM5,NM6,NM7,NM8,NM9,PM1,PM2,PM3,PM4,VB1,VB2,VB3,VB4,VDD,VIN1,VIN2,VOUT1,VOUT2,VREF1,VSS
NM5,M_G,M_S,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM6,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,M_D,0,M_B
NM7,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_D,0,0,M_B
NM8,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_BS
NM9,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_BS
PM1,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS,0,0,0,0,0,0
PM2,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS,0,0,0,0,0,0
PM3,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B,0,0,0,M_D,0,0
PM4,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B,0,0,M_D,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0
VB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_D,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
VREF1,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,M_BS,M_B,M_B,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
