,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,IB1,IB2,L1,L2,L3,L4,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,VCONT1,VCONT2,VDD,VOUT1,VOUT2,VOUT3,VOUT4,VSS
NM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM5,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B
NM6,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,M_B
NM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,M_B
VCONT1,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,M_G,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0
VOUT2,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,M_G,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0
VOUT3,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,M_G,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT4,0,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,M_D,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0
VSS,C_C,0,0,0,0,C_C,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0
