,C1,C2,C3,C4,C5,C6,C7,C8,C9,L1,L10,L11,L2,L3,L4,L5,L6,L7,L8,L9,NET10,NET11,NET12,NET13,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,R1,VB1,VB2,VB3,VCONT1,VSS
NET4,0,0,0,0,0,C_C,0,0,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET8,0,C_C,0,C_C,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET9,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,C_C,C_C,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
