sequence_key,sequence,P_DISS,UGB,AV0,PM,SETTLING_TIME,OFFSET,PSRR,CMRR
c0bb632d1824a1695c470f36856a06e22ac60a1c,CIRCUIT_Opamp->VSS->M_BS->NM33->M_GS->VSS->M_B->NM23->M_D->VOUT2->M_D->PM15->M_G->VB1->M_G->PM15->M_BS->VDD->M_B->PM1->M_G->VB2->M_G->PM1->M_B->VDD->M_B->PM15->M_S->VDD->M_S->PM1->M_D->NET1->M_D->NM33->M_D->NET1->M_D->PM1->M_S->VDD->M_S->PM15->M_B->VDD->M_B->PM1->M_S->VDD->M_D->PM3->M_S->IB1->M_S->PM3->M_D->VDD->M_D->PM3->M_G->VIN1->M_G->PM3->M_D->VDD->M_D->PM3->M_B->VDD->M_B->PM1->M_D->NET1->M_G->NM23->M_G->NET1->M_G->NM23->M_BS->VSS,,,,,,,,
763acf21bb73edd92f3d7b6dd2cbb2cec9310863,CIRCUIT_Opamp->VSS->M_B->NM3->M_G->VIN1->M_G->NM3->M_B->VSS->M_BS->NM35->M_G->NET3->M_DG->NM14->M_BS->VSS->M_BS->NM17->M_G->NET3->M_G->NM35->M_D->NET2->M_DG->PM1->M_BS->VDD->M_BS->PM24->M_G->NET2->M_G->PM34->M_D->NET1->M_D->NM3->M_S->NET4->M_S->NM3->M_D->NET1->C_C->C1->C_C->VOUT1->M_D->PM24->M_BS->VDD->M_BS->PM34->M_BS->VDD->M_BS->PM34->M_G->NET2->M_D->NM35->M_G->NET3->M_D->PM23->M_G->NET1->M_D->NM3->M_S->NET4->M_D->NM17->M_G->NET3->R_C->R2->R_C->VSS->M_B->NM3->M_D->NET1->M_G->PM23->M_BS->VDD->M_BS->PM24->M_G->NET2->M_D->NM35->M_BS->VSS,,,,,,,,
7b8ead6c06feed78058e7c4a90889b365630f609,CIRCUIT_Opamp->VSS->M_S->NM16->M_G->VIN1->M_G->NM16->M_S->VSS->M_B->NM16->M_D->VOUT2->M_D->PM29->M_G->VB1->M_G->PM10->M_D->VOUT2->M_D->NM16->M_B->VSS->M_B->NM11->M_D->VOUT1->M_D->NM11->M_G->VIN2->M_G->NM11->M_S->IB1->M_S->NM11->M_B->VSS->M_B->NM16->M_S->VSS->M_B->NM16->M_D->VOUT2->M_D->PM10->M_BS->VDD->M_BS->PM29->M_BS->VDD->M_BS->PM10->M_D->VOUT2->M_D->NM16->M_B->VSS,,,,,,,,
ffaf85cd6dcfe96008a546a31a8a76188079f1e0,CIRCUIT_Opamp->VSS->M_BG->NM5->M_D->VOUT1->M_G->NM17->M_S->IB2->M_S->NM5->M_G->VSS->M_B->NM17->M_D->VOUT2->M_D->PM12->M_B->VDD->R_C->R24->R_C->VOUT1->M_D->NM12->M_G->VIN1->M_G->NM26->M_D->VOUT1->M_DG->PM24->M_BS->VDD->M_B->PM12->M_S->IB2->M_S->PM12->M_G->VIN2->M_G->PM12->M_D->VOUT2->M_D->NM17->M_S->IB2->M_S->NM5->M_G->VSS->M_B->NM5->M_D->VOUT1->M_D->PM21->M_S->IB5->M_S->PM21->M_G->VCM1->M_G->PM21->M_B->VDD->M_B->PM21->M_D->VOUT1->M_DG->PM24->M_BS->VDD->M_B->PM12->M_D->VOUT2->M_D->NM17->M_B->VSS->M_B->NM17->M_G->VOUT1->M_DG->PM24->M_BS->VDD->M_B->PM21->M_D->VOUT1->M_D->PM21->M_B->VDD->M_B->PM24->M_S->VDD->M_S->PM24->M_DG->VOUT1->M_D->NM5->M_B->VSS->M_BS->NM12->M_BS->VSS->M_BS->NM26->M_BS->VSS,,,,,,,,
7f91cd2ec3a9e3187f3f371275278c97d764120b,CIRCUIT_Opamp->VSS->L_C->L3->L_C->NET2->M_S->NM28->M_G->VIN2->M_G->NM28->M_S->NET2->M_S->NM28->M_B->VSS->C_C->C7->C_C->NET1->L_C->L5->L_C->IB1->R_C->R11->R_C->NET1->C_C->C9->C_C->VOUT1->L_C->L8->L_C->VDD->L_C->L13->L_C->VOUT1->M_D->NM28->M_B->VSS,,,,,,,,
f664a9f1e4ec94f943b443724a83746255d38e2a,CIRCUIT_Opamp->VSS->M_BS->PM6->M_DG->NET2->M_G->PM24->M_BS->VDD->M_BS->PM10->M_G->NET1->M_D->NM23->M_BS->VSS->M_BS->NM23->M_D->NET1->M_G->PM10->M_D->NET3->M_S->PM19->M_B->NET6->M_B->PM26->M_S->NET3->M_D->PM10->M_G->NET1->M_D->NM23->M_BS->VSS->M_BS->NM35->M_DG->NET4->M_G->NM23->M_BS->VSS->M_BS->NM27->M_DG->VB1->M_D->PM24->M_G->NET2->R_C->R26->R_C->VSS->M_BS->NM35->M_DG->NET4->M_D->PM19->M_G->VIN1->M_G->PM19->M_S->NET3->M_S->PM26->M_D->NET5->C_C->C1->C_C->VOUT1->M_D->NM28->M_G->NET5->M_D->PM26->M_G->VIN2->M_G->PM26->M_D->NET5->M_G->NM28->M_BS->VSS,,,,,,,,
4ee21f0f2d295139345e8af7a69379ca02fb2798,CIRCUIT_Opamp->VSS->M_GS->NM29->M_D->NET2->M_G->PM4->M_BS->VDD->R_C->R24->R_C->NET1->M_D->NM4->M_G->VIN1->M_G->NM4->M_BS->VSS->M_BS->NM4->M_D->NET1->M_G->PM32->M_D->NET3->M_S->PM14->M_B->VDD->M_BS->PM32->M_D->NET3->M_D->PM32->M_G->NET1->M_D->NM4->M_BS->VSS->M_BS->NM4->M_BS->VSS->M_BS->NM24->M_D->VOUT1->M_D->PM4->M_BS->VDD->M_B->PM14->M_S->NET3->M_S->PM14->M_D->NET2->M_G->PM4->M_G->NET2->M_D->NM29->M_B->VSS->M_BS->NM24->M_G->VB1->M_G->NM24->M_D->VOUT1->C_C->C7->C_C->VSS->M_BS->NM4->M_D->NET1->M_G->PM32->M_BS->VDD->M_B->PM14->M_G->VB2->M_G->PM14->M_D->NET2->M_G->PM4->M_D->VOUT1->M_D->NM24->M_BS->VSS,,,,,,,,
13fb689ea58f8cc44957dee2538c3b65c3ddbd70,CIRCUIT_Opamp->VSS->M_BS->NM5->M_D->NET2->M_S->NM35->M_D->NET1->M_S->PM4->M_B->VDD->M_B->PM4->M_G->VB2->M_G->PM4->M_D->VOUT1->M_D->NM21->M_S->NET2->M_S->NM21->M_S->NET2->M_S->NM35->M_B->VSS->M_B->NM35->M_G->VB1->M_G->NM35->M_D->NET1->M_S->PM4->M_D->VOUT1->M_D->NM21->M_B->VSS->M_B->NM21->M_G->VIN1->M_G->NM21->M_S->NET2->M_S->NM35->M_D->NET1->M_D->NM35->M_B->VSS->M_B->NM35->M_D->NET1->M_S->PM4->M_D->VOUT1->M_D->NM21->M_B->VSS->M_B->NM35->M_D->NET1->M_S->PM4->M_D->VOUT1->M_D->NM21->M_B->VSS->M_BS->NM5->M_G->VB3->M_G->NM5->M_BS->VSS,,,,,,,,
40b527a0cfe859cf170b3940ad71850da4e89464,CIRCUIT_Opamp->VSS->M_DGS->NM33->M_G->VSS->C_C->C7->C_C->IB1->M_DG->NM29->M_BS->VSS->C_C->C9->C_C->VOUT1->M_D->PM22->M_G->IB2->M_G->PM22->M_D->VOUT1->M_D->NM14->M_G->IB2->M_G->NM14->M_D->VOUT1->M_D->PM22->M_BS->VDD->M_BS->PM24->M_DG->IB1->C_C->C1->C_C->VSS->M_B->NM14->M_S->VIN1->C_C->C2->C_C->VDD->C_C->C5->C_C->NET1->C_C->C3->C_C->VSS->M_BS->NM33->M_D->VSS,,,,,,,,
657030979da074776aa5e125f14f12d64424d63a,CIRCUIT_Opamp->VSS->L_C->L13->L_C->NET2->M_S->NM33->M_D->VOUT1->M_D->PM22->M_S->NET1->M_D->PM12->M_BS->VDD->M_BS->PM16->M_DG->VOUT2->M_G->PM12->M_D->NET1->M_S->PM22->M_G->VOUT1->M_D->NM33->M_G->VIN1->M_G->NM33->M_S->NET2->M_D->NM17->M_G->VB1->M_G->NM17->M_D->NET2->M_S->NM33->M_B->VSS->M_B->NM33->M_S->NET2->M_D->NM17->M_BS->VSS->M_BS->NM17->M_BS->VSS->R_C->R11->R_C->NET1->M_S->PM22->M_D->VOUT1->M_D->NM33->M_B->VSS->M_B->NM17->M_D->NET2->M_S->NM33->M_B->VSS->M_BS->NM17->M_G->VB1->M_G->NM17->M_BS->VSS->M_B->NM33->M_D->VOUT1->M_D->PM22->M_B->VDD->M_BS->PM12->M_D->NET1->M_S->PM22->M_G->VOUT1->M_D->NM33->M_B->VSS,,,,,,,,
4eb4aa9926a2ef1784c206af2ca1f8f087af93d1,CIRCUIT_Opamp->VSS->M_BS->NM29->M_D->NET4->M_G->NM3->M_D->NET5->M_DG->PM10->M_BS->VDD->M_BS->PM7->M_DG->NET2->M_G->PM12->M_D->NET1->M_S->PM34->M_B->VDD->M_BS->PM12->M_G->NET2->M_D->NM21->M_S->NET3->M_G->NM29->M_G->NET3->R_C->R2->R_C->VSS->M_BS->NM3->M_BS->VSS->M_BS->NM8->M_DG->NET4->M_G->NM3->M_BS->VSS->M_BS->NM8->M_DG->NET4->M_G->NM3->M_BS->VSS->M_BS->NM29->M_D->NET4->M_G->NM22->M_BS->VSS->M_BS->NM3->M_D->NET5->M_G->PM16->M_D->NET4->M_D->PM16->M_BS->VDD->M_BS->PM12->M_D->NET1->M_S->PM34->M_D->VOUT1->M_D->NM22->M_D->VOUT1->M_D->PM34->M_G->VIN2->M_G->PM34->M_D->VOUT1->M_D->NM22->M_BS->VSS->M_B->NM21->M_G->VIN1->M_G->NM21->M_D->NET2->M_D->NM21->M_B->VSS,,,,,,,,
ecee086a03c7703cd8540dcf2865b48f38a4396f,CIRCUIT_Opamp->VSS->M_BS->PM3->M_G->NET1->M_D->NM35->M_G->NET2->M_DG->NM24->M_BS->VSS->M_BS->NM35->M_D->NET1->M_G->PM3->M_D->NET3->M_S->PM24->M_B->NET6->M_B->PM12->M_S->NET3->M_D->PM3->M_D->NET3->M_S->PM24->M_G->VIN2->M_G->PM24->M_D->VOUT1->M_D->NM5->M_BS->VSS->M_BS->NM35->M_BS->VSS->M_BS->NM5->M_D->VOUT1->C_C->C4->C_C->NET5->M_D->PM12->M_G->VIN1->M_G->PM12->M_S->NET3->M_D->PM3->M_BS->VSS->M_BS->NM35->M_G->NET2->R_C->R2->R_C->VDD->M_BS->PM16->M_DG->NET1->M_G->PM3->M_G->NET1->M_D->NM35->M_BS->VSS->M_BS->NM5->M_G->NET5->M_D->PM12->M_S->NET3->M_D->PM3->M_G->NET1->M_D->NM35->M_BS->VSS,,,,,,,,
e88d01847c70e3b8bce1c5467e0cbf792e70db1d,CIRCUIT_Opamp->VSS->M_B->NM23->M_D->VOUT1->M_D->PM1->M_S->NET2->M_D->PM31->M_BS->VDD->M_BS->PM24->M_D->NET2->M_S->PM1->M_G->VB2->M_G->PM1->M_B->VDD->M_BS->PM31->M_G->VB3->M_G->PM24->M_BS->VDD->M_BS->PM31->M_D->NET2->M_S->PM1->M_D->VOUT1->M_D->NM23->M_S->NET1->M_S->NM23->M_G->VB1->M_G->NM23->M_S->NET1->M_D->NM32->M_G->VIN1->M_G->NM32->M_BS->VSS,,,,,,,,
169428507634dbd9c023edf6f7d59b5ff69513c7,CIRCUIT_Opamp->VSS->M_B->PM5->M_G->VB1->M_G->PM23->M_D->VOUT1->M_D->NM35->M_S->NET3->M_D->NM5->M_G->VIN1->M_G->NM5->M_D->NET3->M_S->NM35->M_G->VIN2->M_G->NM35->M_S->NET3->M_D->NM5->M_BS->VSS->M_BS->NM1->M_D->NET1->R_C->R9->R_C->VDD->R_C->R2->R_C->NET2->M_S->PM5->M_D->NET1->M_D->NM1->M_BS->VSS->M_BS->NM5->M_BS->VSS->M_BS->NM1->M_G->VB1->M_G->NM1->M_D->NET1->M_G->PM11->M_D->NET2->M_S->PM5->M_D->NET1->M_D->NM1->M_BS->VSS->M_B->NM35->M_D->VOUT1->M_D->PM23->M_S->NET2->M_S->PM23->M_B->VDD->M_BS->PM11->M_D->NET2->M_S->PM5->M_D->NET1->M_D->NM1->M_BS->VSS,,,,,,,,
bc7316483157f2727e75d914962b8f68974b2ec5,CIRCUIT_Opamp->VSS->M_B->NM5->M_D->NET2->M_G->PM1->M_D->NET1->M_D->NM1->M_B->VSS->M_BS->NM28->M_D->VOUT1->M_D->PM33->M_BS->VDD->M_BS->PM1->M_G->NET2->M_D->NM5->M_B->VSS->M_B->NM1->M_G->VIN1->M_G->NM1->M_S->IB1->M_S->NM5->M_G->VIN2->M_G->NM5->M_S->IB1->M_S->NM1->M_D->NET1->M_DG->PM17->M_BS->VDD->R_C->R27->R_C->VOUT1->M_D->NM28->M_G->NET1->M_D->NM1->M_B->VSS->M_B->NM5->M_S->IB1->M_S->NM5->M_D->NET2->M_DG->PM19->M_BS->VDD->M_BS->PM33->M_G->NET1->M_G->NM28->M_BS->VSS,,,,,,,,
71424195daf1795ab011b217ae25d41532c7058e,CIRCUIT_Opamp->VSS->B_BCE->PNP11->B_E->VSS->M_B->NM26->M_D->NET1->M_G->PM4->M_D->VOUT1->M_D->NM3->M_G->VIN1->M_G->NM3->M_B->VSS->C_C->C7->C_C->VOUT2->C_C->C9->C_C->VSS->M_B->NM3->M_S->IB1->M_S->NM26->M_G->VIN2->M_G->NM26->M_S->IB1->M_S->NM3->M_B->VSS->C_C->C13->C_C->VOUT1->M_D->PM4->M_G->NET1->M_DG->PM3->M_BS->VDD->M_BS->PM4->M_G->NET1->M_D->NM26->M_S->IB1->M_S->NM3->M_B->VSS,,,,,,,,
aee6ab91febbc5572f74d0edc181099c6b5f8e73,CIRCUIT_Opamp->VSS->M_GS->NM9->M_B->VSS->M_B->NM35->M_G->VIN2->M_G->NM35->M_B->VSS->L_C->L16->L_C->VOUT1->C_C->C9->C_C->VSS->L_C->L5->L_C->NET1->M_S->NM35->M_D->VOUT1->L_C->L13->L_C->VDD->L_C->L22->L_C->VOUT1->M_D->NM35->M_S->NET1->M_D->NM9->M_G->VSS,,,,,,,,
8ca3ddccb7a2aad1a9dee365c56ec0c0a178098d,CIRCUIT_Opamp->VSS->C_C->C1->C_C->NET1->M_G->PM12->M_D->VOUT1->M_D->NM5->M_B->VSS->C_C->C4->C_C->VOUT1->M_D->NM5->M_S->IB1->M_S->NM5->M_G->VIN1->M_G->NM5->M_B->VSS->C_C->C3->C_C->NET2->C_C->C13->C_C->VSS->M_BS->NM12->M_DG->IB1->C_C->C12->C_C->VSS->M_BS->NM12->M_DG->IB1->C_C->C7->C_C->VSS->M_B->NM5->M_D->VOUT1->M_D->PM12->M_BS->VDD->M_BS->PM12->M_G->NET1->M_DG->PM34->M_DG->NET1->C_C->C5->C_C->VSS->C_C->C2->C_C->NET2->R_C->R26->R_C->VOUT1->M_D->PM12->M_G->NET1->M_D->PM34->M_BS->VDD->M_BS->PM34->M_D->NET1->M_D->PM34->M_D->NET1->C_C->C8->C_C->VSS,,,,,,,,
b4df2b015ce10993c4543aca13c6f704663c253e,CIRCUIT_Opamp->VSS->M_BDG->NM5->M_G->VSS->M_BS->NM29->M_D->NET2->M_S->NM5->M_D->VSS->C_C->C7->C_C->VOUT1->R_C->R1->R_C->VIN1->R_C->R24->R_C->NET1->C_C->C1->C_C->NET2->C_C->C5->C_C->VOUT1->M_D->PM6->M_G->IB1->M_G->PM6->M_BS->VDD->M_BS->PM6->M_D->VOUT1->M_D->NM34->M_G->VDD->M_BS->PM6->M_D->VOUT1->C_C->C13->C_C->VSS->C_C->C4->C_C->NET1->M_G->NM29->M_BS->VSS->M_B->NM34->M_S->VOUT1->M_D->PM6->M_BS->VDD->M_BS->PM6->M_D->VOUT1->C_C->C6->C_C->VSS,,,,,,,,
2b557c19700dd8c36222b94b40139e0f7de6efe4,CIRCUIT_Opamp->VSS->M_DGS->NM6->M_D->VSS->M_BS->NM5->M_G->VIN1->M_G->NM5->M_D->NET1->M_G->PM4->M_D->VOUT1->M_D->NM34->M_G->IB1->M_D->PM6->M_G->NET1->C_C->C3->C_C->VSS->M_BS->NM34->M_BS->VSS->M_BS->NM5->M_D->NET1->R_C->R27->R_C->VDD->M_BS->PM4->M_D->VOUT1->M_D->NM34->M_BS->VSS->C_C->C7->C_C->VOUT1->R_C->R2->R_C->VDD->R_C->R26->R_C->VOUT1->M_D->NM34->M_BS->VSS->C_C->C6->C_C->VOUT1->M_D->PM4->M_BS->VDD->M_BS->PM6->M_D->IB1->M_D->PM6->M_G->NET1->M_D->NM5->M_BS->VSS->M_BS->NM6->M_G->VSS,,,,,,,,
11abcaa668ef324aa318ad60e90100d56675fb13,CIRCUIT_Opamp->VSS->M_BGS->NM9->M_D->NET2->M_S->NM5->M_G->VB1->M_G->NM35->M_S->NET1->M_D->NM14->M_G->VIN1->M_G->NM14->M_B->VSS->M_B->NM5->M_D->VOUT2->R_C->R26->R_C->VDD->R_C->R11->R_C->VOUT1->M_D->NM35->M_B->VSS->M_B->NM14->M_S->NET1->M_S->NM14->M_B->VSS,,,,,,,,
c0be09587d3c15f1aca4c98d8e1651f06849eaf9,CIRCUIT_Opamp->VSS->R_C->R11->R_C->NET2->M_G->PM17->M_D->VB1->M_DG->NM3->M_BS->VSS->M_BS->NM17->M_G->NET4->M_D->PM4->M_B->NET6->M_B->PM29->M_D->NET5->C_C->C3->C_C->VOUT1->M_D->NM17->M_BS->VSS->M_BS->NM17->M_G->NET4->M_D->PM4->M_S->NET3->M_D->PM31->M_BS->VDD->M_BS->PM17->M_G->NET2->M_G->PM31->M_D->NET3->M_S->PM4->M_G->VIN1->M_G->PM4->M_S->NET3->M_S->PM29->M_G->VIN2->M_G->PM29->M_S->NET3->M_S->PM4->M_G->VIN1->M_G->PM4->M_D->NET4->M_G->NM17->M_BS->VSS,,,,,,,,
6a3e0b548691550c812b966670b19b0bb2185f7b,CIRCUIT_Opamp->VSS->M_BDGS->NM16->M_S->VSS->C_C->C3->C_C->NET1->C_C->C9->C_C->VOUT1->R_C->R11->R_C->VDD->R_C->R26->R_C->VOUT1->M_D->NM5->M_S->VIN1->M_S->NM5->M_B->VSS->C_C->C1->C_C->VOUT1->C_C->C6->C_C->NET1->M_G->NM5->M_B->VSS,,,,,,,,
544d1d78d937e9d0ba33a212f9764e1ecc95a6e3,CIRCUIT_Opamp->VSS->M_S->NM29->M_B->VSS->M_BS->NM5->M_G->VB1->M_G->NM5->M_BS->VSS->M_B->NM29->M_S->VSS->M_B->NM29->M_D->VOUT1->M_G->PM14->M_D->VOUT1->M_D->NM29->M_S->VSS->R_C->R24->R_C->NET1->M_G->PM27->M_D->NET2->M_D->NM5->M_D->NET2->M_DG->PM19->M_BS->VDD->M_BS->PM27->M_BS->VDD->M_BS->PM14->M_D->VOUT1->M_D->NM29->M_B->VSS->M_B->NM29->M_G->VIN1->M_G->NM29->M_B->VSS,,,,,,,,
a3e5e5a1608317e6c91fb71a51fc14028ed1d970,CIRCUIT_Opamp->VSS->M_DS->NM8->M_S->VSS->M_B->NM16->M_D->NET2->M_G->PM22->M_BS->VDD->M_BS->PM34->M_DG->NET2->M_D->NM16->M_S->IB1->M_S->NM16->M_G->VIN2->M_G->NM16->M_D->NET2->M_D->PM22->M_BS->VDD->R_C->R2->R_C->VOUT1->M_D->NM9->M_G->VIN1->M_G->NM9->M_D->VOUT1->M_D->NM9->M_B->VSS->M_B->NM9->M_S->IB1->M_S->NM9->M_B->VSS->M_B->NM16->M_D->NET2->M_G->PM22->M_G->NET2->M_D->NM16->M_B->VSS->M_B->NM9->M_D->VOUT1->M_D->PM30->M_BS->VDD->M_BS->PM30->M_G->NET2->M_D->PM22->M_G->NET2->M_D->NM16->M_B->VSS->M_B->NM8->M_G->VIN1->M_G->NM8->M_B->VSS,,,,,,,,
dd0945e1c0aef3ccc6fa7b32e511da512f7f0a0e,CIRCUIT_Opamp->VSS->M_BG->NM16->M_D->VOUT2->R_C->R1->R_C->VDD->R_C->R21->R_C->VOUT1->M_D->NM9->M_B->VSS->M_B->NM35->M_G->VIN1->M_G->NM9->M_D->VOUT1->M_D->NM35->M_S->IB1->R_C->R24->R_C->IB2->M_S->NM9->M_G->VIN1->M_G->NM9->M_B->VSS->M_B->NM9->M_S->IB2->M_S->NM16->M_G->VSS,,,,,,,,
